DATE,BOA_CLOSE,CITY_CLOSE,WELLS_CLOSE,JPM_CLOSE,GDP_VALUE,UNEMPLO_RATE,INFLA_RATE,CC_VALUE,CPI_VALUE,GOLD_CLOSE,YIELD_VALUE
23-01-1999,32.46875,260.8333333,18.30208333,48.48611111,9443.392178,4.325806452,1.587706849,128.3322581,164.6225806,286.7333333,5.497
24-01-1999,32.40625,263.5416667,18.22916667,49.05555556,9444.579822,4.322580645,1.589476712,128.4032258,164.6322581,287.1666667,5.496
25-01-1999,32.34375,266.25,18.15625,49.625,9445.767467,4.319354839,1.591246575,128.4741935,164.6419355,287.6,5.495
26-01-1999,32.46875,277.5,17.90625,49.5,9446.955111,4.316129032,1.593016438,128.5451613,164.6516129,285.9,5.494
27-01-1999,31.0625,270,17.5,48.75,9448.142756,4.312903226,1.594786301,128.616129,164.6612903,283.1,5.493
28-01-1999,32.4375,277.5,17.78125,49.08333334,9449.3304,4.309677419,1.596556164,128.6870968,164.6709677,283.9,5.492
29-01-1999,33.4375,280.3125,17.5,51.29166667,9450.518044,4.306451613,1.598326027,128.7580645,164.6806452,286.1,5.491
30-01-1999,33.16666667,277.7083333,17.33333333,51.26388889,9451.705689,4.303225806,1.60009589,128.8290323,164.6903226,286.9,5.49
31-01-1999,32.89583333,275.1041667,17.16666667,51.23611111,9452.893333,4.3,1.601865753,128.9,164.7,287.7,5.489
01-02-1999,32.625,272.5,17,51.20833334,9454.080978,4.303571429,1.603635616,129.05,164.7,288.5,5.514035714
02-02-1999,31.71875,265.3125,17.09375,51.20833334,9455.268622,4.307142857,1.605405479,129.2,164.7,288.4,5.539071429
03-02-1999,31.75,271.875,16.75,52.91666667,9456.456267,4.310714286,1.607175342,129.35,164.7,287.3,5.564107143
04-02-1999,30.59375,265.625,17,51.95833334,9457.643911,4.314285714,1.608945205,129.5,164.7,289.2,5.589142857
05-02-1999,30.375,264.375,17.1875,50.95833334,9458.831556,4.317857143,1.610715068,129.65,164.7,288.3,5.614178571
06-02-1999,30.25,263.75,17.21875,50.22222222,9460.0192,4.321428571,1.612484932,129.8,164.7,288.6166667,5.639214286
07-02-1999,30.125,263.125,17.25,49.48611111,9461.206844,4.325,1.614254795,129.95,164.7,288.9333333,5.66425
08-02-1999,30,262.5,17.28125,48.75,9462.394489,4.328571429,1.616024658,130.1,164.7,289.25,5.689285714
09-02-1999,29.875,253.125,16.53125,48,9463.582133,4.332142857,1.617794521,130.25,164.7,287.4,5.714321429
10-02-1999,30.8125,261.875,16.375,48.70833334,9464.769778,4.335714286,1.619564384,130.4,164.7,287,5.739357143
11-02-1999,32.46875,268.125,17,50.75,9465.957422,4.339285714,1.621334247,130.55,164.7,287.5,5.764392857
12-02-1999,31.4375,259.375,17.0625,49.375,9467.145067,4.342857143,1.62310411,130.7,164.7,289.3,5.789428571
13-02-1999,31.65625,261.328125,17.1796875,49.97916667,9468.332711,4.346428571,1.624873973,130.85,164.7,289.2833333,5.814464286
14-02-1999,31.875,263.28125,17.296875,50.58333334,9469.520356,4.35,1.626643836,131,164.7,289.2666667,5.8395
15-02-1999,32.09375,265.234375,17.4140625,51.1875,9470.708,4.353571429,1.628413699,131.15,164.7,289.25,5.864535714
16-02-1999,32.3125,267.1875,17.53125,51.79166667,9471.895644,4.357142857,1.630183562,131.3,164.7,285.2,5.889571429
17-02-1999,32.4375,265.3125,18.25,51.5,9473.083289,4.360714286,1.631953425,131.45,164.7,284.6,5.914607143
18-02-1999,32.96875,264.6875,18.5,50.83333334,9474.270933,4.364285714,1.633723288,131.6,164.7,285.5,5.939642857
19-02-1999,32.46875,270.9375,18.3125,50.70833334,9475.458578,4.367857143,1.635493151,131.75,164.7,288,5.964678571
20-02-1999,32.58333333,273.0208333,18.46875,51.80555556,9476.646222,4.371428571,1.637263014,131.9,164.7,287.6333333,5.989714286
21-02-1999,32.69791667,275.1041667,18.625,52.90277778,9477.833867,4.375,1.639032877,132.05,164.7,287.2666667,6.01475
22-02-1999,32.8125,277.1875,18.78125,54,9479.021511,4.378571429,1.64080274,132.2,164.7,286.9,6.039785714
23-02-1999,33.46875,290.9375,18.5625,54.58333334,9480.209156,4.382142857,1.642572603,132.35,164.7,287,6.064821429
24-02-1999,31.96875,284.6875,18,52.54166667,9481.3968,4.385714286,1.644342466,132.5,164.7,287.5,6.089857143
25-02-1999,32.3125,288.75,18.46875,53,9482.584444,4.389285714,1.646112329,132.65,164.7,287.5,6.114892857
